airdate,advertiser,ad_count
2020-11-05,Warnock for GA Senate,128
2020-11-06,Warnock for GA Senate,175
2020-11-07,Ossoff for GA Senate,98
2020-11-07,Warnock for GA Senate,39
2020-11-08,Ossoff for GA Senate,148
2020-11-08,Warnock for GA Senate,49
2020-11-09,Ossoff for GA Senate,581
2020-11-09,Warnock for GA Senate,174
2020-11-10,Ossoff for GA Senate,781
2020-11-10,Warnock for GA Senate,494
2020-11-11,Ossoff for GA Senate,821
2020-11-11,Warnock for GA Senate,500
2020-11-12,Loeffler for GA Senate,599
2020-11-12,Ossoff for GA Senate,798
2020-11-12,Warnock for GA Senate,446
2020-11-13,Loeffler for GA Senate,1009
2020-11-13,Ossoff for GA Senate,957
2020-11-13,Perdue for GA Senate,139
2020-11-13,Warnock for GA Senate,719
2020-11-14,Loeffler for GA Senate,352
2020-11-14,Ossoff for GA Senate,283
2020-11-14,Perdue for GA Senate,155
2020-11-14,Warnock for GA Senate,243
2020-11-15,Loeffler for GA Senate,332
2020-11-15,Ossoff for GA Senate,236
2020-11-15,Perdue for GA Senate,199
2020-11-15,Warnock for GA Senate,275
2020-11-16,Loeffler for GA Senate,42
2020-11-16,Ossoff for GA Senate,20
2020-11-16,Perdue for GA Senate,22
2020-11-16,Warnock for GA Senate,9
