airdate,Warnock for GA Senate,Ossoff for GA Senate,Loeffler for GA Senate,Perdue for GA Senate,American Crossroads,Senate Leadership Fund,Georgia Honor,Meidas Touch,Senate Georgia Battleground Fund/Perdue & Loeffler,The Georgia Way,NRSC/Loeffler
2020-11-05,128,0,0,0,0,0,0,0,0,0,0
2020-11-06,175,0,0,0,0,0,0,0,0,0,0
2020-11-07,39,98,0,0,0,0,0,0,0,0,0
2020-11-08,49,148,0,0,0,0,0,0,0,0,0
2020-11-09,174,581,0,0,0,0,0,0,0,0,0
2020-11-10,494,781,0,0,0,0,0,0,0,0,0
2020-11-11,500,821,0,0,0,0,0,0,0,0,0
2020-11-12,446,798,599,0,0,0,0,0,0,0,0
2020-11-13,719,957,1009,139,0,0,0,0,0,0,0
2020-11-14,243,356,352,155,0,0,0,0,0,0,0
2020-11-15,275,350,332,199,0,0,0,0,0,0,0
2020-11-16,853,933,634,675,0,0,0,0,0,0,0
2020-11-17,730,1072,679,599,383,283,0,0,0,0,0
2020-11-18,826,1676,107,587,435,306,189,2,14,137,0
2020-11-19,886,1711,707,577,412,283,239,2,30,174,87
2020-11-20,889,1809,772,626,438,299,232,3,0,164,157
2020-11-21,225,750,256,251,140,138,82,2,0,64,100
2020-11-22,192,781,233,259,151,144,125,1,16,82,119
2020-11-23,867,1847,743,631,405,285,254,3,86,173,204
2020-11-24,646,1651,878,903,425,311,239,2,80,194,207
2020-11-25,739,1630,894,895,504,362,269,0,30,157,211
2020-11-26,731,1225,693,279,384,294,207,0,2,138,176
2020-11-27,646,1447,745,702,398,283,230,0,2,166,191
2020-11-28,301,720,378,274,185,125,96,0,0,78,96
2020-11-29,335,615,447,259,202,137,127,0,0,91,105
2020-11-30,28,85,78,31,9,7,15,0,0,7,15
