office,advertiser_party,election_state,advertiser_type,advertiser,target,title,link,issues_combined,total_airings_to_date,estimated_spending,first_aired_on
house,Democrat,NM,Candidate,Torres-Small for NM CD-02,Torres-Small for NM CD-02,Put Politics Aside,https://s3.amazonaws.com/pdfweb/videos/d08ebcb7-ebd6-450b-ab75-f0dd0f6611b1.mp4,Bipartisanship|Coronavirus|Donald Trump,3099,188530.16,2020-07-14
house,Democrat,VA,Candidate,Webb for VA CD-05,Webb for VA CD-05,Affordable Healthcare,https://s3.amazonaws.com/pdfweb/videos/167c7d87-2087-4c2d-9d30-b85210db58e8.mp4,Barack Obama|Coronavirus|Healthcare,1570,113994.19,2020-05-11
house,Democrat,WI,Candidate,Zunker for WI CD-07,Tiffany for WI CD-07,Put Politics Aside,https://s3.amazonaws.com/pdfweb/videos/1d1bdf91-e6d3-4550-a1cd-4f559dc057ad.mp4,Coronavirus|Donald Trump|Healthcare,1427,299942.25,2020-04-21
house,Democrat,NM,Candidate,Plame for NM CD-03,Plame for NM CD-03,My Sister Valerie,https://s3.amazonaws.com/pdfweb/videos/0ef9fa8a-bb33-406e-99c4-b2f831c84cd2.mp4,Coronavirus|Donald Trump|Economy,940,164014.77,2020-05-02
house,Democrat,CA,Coordinated Buy,DCCC/Christy Smith,Garcia for CA CD-25,Putting Community First,https://s3.amazonaws.com/pdfweb/videos/b377da1b-0fc2-41e5-8fb2-860b7a72a234.mp4,Coronavirus||,899,485721.96,2020-04-29
house,Democrat,VA,Candidate,Russo for VA CD-05,Russo for VA CD-05,What Will They Remember?,https://s3.amazonaws.com/pdfweb/videos/4191f318-c876-42c3-b267-ee4f7688a534.mp4,Coronavirus|Healthcare|,826,57245.97,2020-05-29
house,Democrat,VA,Issue Group,Women Vote!,Russo for VA CD-05,Protect Doctors And Nurses,https://s3.amazonaws.com/pdfweb/videos/b3911b38-4bf3-49f6-9f1b-c450e2cd0538.mp4,Coronavirus|Healthcare|Terrorism,793,100918.76,2020-06-03
house,Republican,OR,Issue Group,Defending Main Street Super PAC,Bentz for OR CD-02,Tough Line,https://s3.amazonaws.com/pdfweb/videos/960c3d4b-96d8-4597-a720-bb0625e3fc72.mp4,Coronavirus|Donald Trump|,770,50063.14,2020-04-24
house,Democrat,AZ,Candidate,Tipirneni for AZ CD-06,Tipirneni for AZ CD-06,No Excuses,https://s3.amazonaws.com/pdfweb/videos/822dd0b3-da46-4d33-82f7-6233d2e36726.mp4,Coronavirus|Healthcare|,697,207533.07,2020-07-02
house,Democrat,NM,Candidate,Fernandez for NM CD-03,Fernandez for NM CD-03,Let Science Guide Us,https://s3.amazonaws.com/pdfweb/videos/7470e106-dfbb-4247-b18d-f076196d60c8.mp4,Coronavirus|Donald Trump|Healthcare,590,117083.85,2020-05-21
house,Democrat,SC,Candidate,Cunningham for SC CD-01,Cunningham for SC CD-01,Low Country First,https://s3.amazonaws.com/pdfweb/videos/c13e7221-11b1-4e71-b75a-4e76d8cbfee7.mp4,Coronavirus|Energy|Environment,582,64384.52,2020-07-02
house,Republican,TN,Candidate,Harshbarger for TN CD-01,Harshbarger for TN CD-01,Outsider,https://s3.amazonaws.com/pdfweb/videos/8923bc86-4a07-44e1-b4a4-e775e266253c.mp4,Coronavirus|Donald Trump|,576,64809.4,2020-06-15
house,Democrat,NJ,Candidate,Kennedy for NJ CD-02,Kennedy for NJ CD-02,Matters,https://s3.amazonaws.com/pdfweb/videos/478c59c2-8007-42b9-9f60-365c7b7dcd0d.mp4,Coronavirus|Economy|Healthcare,465,257473.29,2020-05-27
house,Democrat,OK,Candidate,Horn for OK CD-05,Horn for OK CD-05,Greatest Honor,https://s3.amazonaws.com/pdfweb/videos/376f5ce9-1300-4e21-9221-2e0aa6702644.mp4,Coronavirus|Debt|,433,58963.06,2020-07-01
house,Republican,TX,Candidate,Swann for TX CD-17,Sessions for TX CD-17,Not Fooled By China,https://s3.amazonaws.com/pdfweb/videos/829efbc2-2366-4bd3-a7aa-0513395488a7.mp4,Coronavirus|Donald Trump|Trade,430,39048.15,2020-06-16
house,Democrat,VA,Issue Group,Women Vote!,Russo for VA CD-05,Leading Through This Crisis,https://s3.amazonaws.com/pdfweb/videos/8def58f1-81ca-485b-8d2a-970e5bfc3ad5.mp4,Coronavirus|Healthcare|,420,72842.19,2020-06-15
house,Republican,OK,Candidate,Neese for OK CD-05,Neese for OK CD-05,Stand With Trump,https://s3.amazonaws.com/pdfweb/videos/90c875f5-8319-490a-b9ef-f9b25499b16d.mp4,Coronavirus|Donald Trump|Jobs,418,66557.84,2020-06-19
house,Republican,PA,Issue Group,American Action Network,Perry for PA CD-10,Accelerate Innovation,https://s3.amazonaws.com/pdfweb/videos/c1bb97e6-2f6a-435e-a0b2-311150810a66.mp4,Bipartisanship|Coronavirus|Economy,414,156444.31,2020-07-16
house,Democrat,NY,Candidate,Balter for NY CD-24,Balter for NY CD-24,Virtual Town Halls,https://s3.amazonaws.com/pdfweb/videos/1163fe48-6b1d-4c72-a43c-e1b8026b4421.mp4,Coronavirus|Donald Trump|Healthcare,401,51327.51,2020-05-11
house,Democrat,NY,Candidate,Ocasio-Cortez for NY CD-14,Ocasio-Cortez for NY CD-14,Systemic Problems,https://s3.amazonaws.com/pdfweb/videos/1e99c75d-85a1-42a0-8177-928e373fe28e.mp4,Coronavirus|Economy|Law Enforcement,391,309680.27999999997,2020-06-12
